code,lat,long
T3C0E7,51.0478,-114.0585
T3E3H4,51.0478,-114.0585
T3E2A2,51.0478,-114.0585
T3E0B1,51.0478,-114.0585
T3E0A7,51.0478,-114.0585
T3C2Z4,51.0478,-114.0585
T3H3J7,51.0478,-114.0585
T3E6S9,51.0478,-114.0585
T3C1S6,51.0478,-114.0585
T3E0M8,51.0478,-114.0585
T2S2T2,51.0478,-114.0585
T2E7H7,51.0478,-114.0585
T2R1L9,51.0478,-114.0585
T2P3R5,51.0478,-114.0585
T2P3P4,51.0478,-114.0585
T2P3C5,51.0478,-114.0585
T2P4K9,51.0478,-114.0585
T2G4B7,51.0478,-114.0585
T1Y6Z8,51.0478,-114.0585
T2H2P6,51.0478,-114.0585
T2E6Z3,51.0478,-114.0585
T2E6T7,51.0478,-114.0585
T1Y5Y9,51.0478,-114.0585
T2A6L8,51.0478,-114.0585
T2E6S8,51.0478,-114.0585
T3B2V4,51.0478,-114.0585
T2N4M1,51.0478,-114.0585
T2N4N1,51.0478,-114.0585
T2M0P9,51.0478,-114.0585
T2K5Y1,51.0478,-114.0585
T2M4S2,51.0478,-114.0585
T2M4N1,51.0478,-114.0585
T2M1L4,51.0478,-114.0585
T2N4K,51.0478,-114.0585
T2N4C,51.0478,-114.0585
T2M0R2,51.0478,-114.0585
T2L2A5,51.0478,-114.0585
T2N1N4,51.0478,-114.0585
T2L2A4,51.0478,-114.0585
T2N1C6,51.0478,-114.0585
T3B2V3,51.0478,-114.0585
T2N1C1,51.0478,-114.0585
T2K5S5,51.0478,-114.0585
T2N4V6,51.0478,-114.0585
T2L1Y,51.0478,-114.0585
T2G4C2,51.0478,-114.0585
T2N3P5,51.0478,-114.0585
T2G0H5,51.0478,-114.0585
T3C0E8,51.0478,-114.0585
T2S2T8,51.0478,-114.0585
T2P4K9,51.0478,-114.0585
T2G4C8,51.0478,-114.0585
T2M3A6,51.0478,-114.0585
T2B3E2,51.0478,-114.0585
T2P3C5,51.0478,-114.0585
T2H2B8,51.0478,-114.0585
T2P2Z1,51.0478,-114.0585
